class,phylum,occurrence_count,individual_count
2-12-FULL-45-22,Nitrospinota_B,1,
AB16,Marinisomatota,2,
ABY1,Patescibacteria,878,49
Abditibacteria,Armatimonadota,42,458
Acavomonea,Acavomonidia,116,
Acidimicrobiia,Actinobacteriota,188756,252859
Acidobacteriae,Acidobacteriota,250694,776920
Aconoidasida,Myzozoa,74989,712
Actinomycetia,Actinobacteriota,1407832,2295420
Aenigmatarchaeia,Aenigmatarchaeota,17,
Aerophobia,Aerophobota,1,
Agaricomycetes,Basidiomycota,19173926,451934219
Agaricostilbomycetes,Basidiomycota,15660,30
Allomalorhagida,Kinorhyncha,3540,4361
Alphaproteobacteria,Proteobacteria,3406810,2076309
Alsuviricetes,Kitrinoviricota,42494,26
Altiarchaeia,Altiarchaeota,1,
Amabiliviricetes,Lenarviricota,574,
Aminicenantia,Acidobacteriota,571,
Amphibia,Chordata,11391751,165859312
Anaerolineae,Chloroflexota,245701,46947
Anaeromonadea,Metamonada,1008,4
Andersenbacteria,Patescibacteria,21,
Andreaeobryopsida,Bryophyta,191,9
Andreaeopsida,Bryophyta,64458,4078
Anthocerotopsida,Anthocerotophyta,30516,225374
Anthozoa,Cnidaria,2921231,10583684
Apicomonadea,Myzozoa,7268,
Aquificae,Aquificota,6605,
Arachnida,Arthropoda,10136030,10199135
Archaeoglobi,Halobacteriota,1482,
Archaeorhizomycetes,Ascomycota,17628,4107
Archiacanthocephala,Acanthocephala,5482,4618
Arfiviricetes,Cressdnaviricota,15912,
Armatimonadia,Armatimonadota,21810,16060
Arthoniomycetes,Ascomycota,552921,1424811
Ascidiacea,Chordata,375382,42377939
Asteroidea,Echinodermata,667375,207899025
Atractiellomycetes,Basidiomycota,13573,79319
Atribacteria,Atribacterota,1197,
Aurearenophyceae,Ochrophyta,319,
Aves,Chordata,2009825312,27002390243
B15-G4,Planctomycetota,86,
BSN033,Desulfobacterota,4,
Babeliae,Dependentiae,3333,12258
Bacillariophyceae,Ochrophyta,4538129,24254995719
Bacilli,Firmicutes,774625,2717442
Bacteriovoracia,Bdellovibrionota,136192,2380
Bacteroidia,Bacteroidota,2353313,260370
Bangiophyceae,Rhodophyta,70931,5457
Bathyarchaeia,Thermoproteota,106,
Bdellovibrionia,Bdellovibrionota,114693,19717
Bdellovibrionia_A,Bdellovibrionota,115,
Bigyromonadea,Oomycota,1155,
Binatia,Desulfobacterota_B,210,
Bipolaricaulia,Bipolaricaulota,5,
Bivalvia,Mollusca,5842105,1257349948
Blastocatellia,Acidobacteriota,85783,101001
Blastocladiomycetes,Blastocladiomycota,11695,33
Bolidophyceae,Ochrophyta,15041,
Brachyspirae,Spirochaetota,5086,
Bradymonadia,Myxococcota,34986,92
Branchiopoda,Arthropoda,362312,172329148
