family,order,occurrence_count,individual_count
0-14-0-80-60-11,Desulfobaccales,8,
01-FULL-45-10b,Omnitrophales,8,
02-FULL-45-10c,UBA6257,4,
1-14-0-10-44-23,UBA6257,5,
1-14-0-20-45-26,Omnitrophales,2,
1604HC,Rickettsiales,1,
172606-1,Cytophagales,3346,2
2-01-FULL-46-14,UBA920,1,
2-01-FULL-50-11,UBA920,8,
2-01-FULL-52-15,UBA1558,28,
2-01-FULL-56-20,UBA6257,75,
2-02-FULL-48-12,Ryanbacterales,3,
2-02-FULL-48-14,UBA1369,13,
2-02-FULL-50-9b,Magasanikbacterales,2,
2-02-FULL-58-16,Rhodospirillales,112,
2-02-FULL-66-22,Methylomirabilales,6,
2-12-FULL-35-15,AKYH767,112,
2-12-FULL-38-22,Spechtbacterales,8,
2-12-FULL-40-10,Moranbacterales,1,
2-12-FULL-57-11,SG8-24,4,
2-12-FULL-60-25,SG8-24,25,
2-12-FULL-66-21,Vicinamibacterales,34,
2-12-FULL-67-15,Rhodospirillales,2,
2013-40CM-41-45,AKYH767-A,43,
33-17,Rickettsiales,11,
34-128,SB-45,5,
40CM-4-68-19,Myxococcales,6,
4484-276,Bacteroidales,2,
70-9,Solirubrobacterales,18035,370421
A4b,Aggregatilineales,502,16783
AA152,Gp22-AA2,29,
AAA164-E04,Pedosphaerales,345,
AAA536-G10,Puniceispirillales,390,
AB-539-J10,GIF9,6,
AG-339-G14,SAR86,16,
AG-422-B15,Pelagibacterales,272,
AMD01,Saccharimonadales,18,
ARS21,UBA10117,1,
ARS49,Woesearchaeales,3,
AWTP1-31,Saccharimonadales,58,
Abacionidae,Callipodida,700,813
Abadiellidae,Redlichiida,17,1
Abderitesidae,Paucituberculata,5,
Abderitidae,Paucituberculata,59,11
Abditibacteriaceae,Abditibacteriales,42,458
Abelsporidae,Glugeida,1,1
Aberrapecidae,Lecanicephalidea,35,138
Abertellidae,Echinolampadacea,617,163
Abriolinidae,Lagenida,6,
Abrocomidae,Rodentia,342,66
Abronicidae,Nudibranchia,578,3
Abrothallaceae,Abrothallales,4974,333
Abrsiidae,Cyclopoida,3,3
Abylidae,Siphonophorae,6262,37231
Abyssoanthidae,Zoantharia,580,2
Abyssochitonidae,Lepidopleurida,107,99
Abyssocottidae,Scorpaeniformes,263,72
Acaeniotylidae,Spumellaria,12,
Acalyptonotidae,Trombidiformes,18,6
Acanaloniidae,Hemiptera,18045,2843
Acanthaceae,Lamiales,989990,337415
Acanthametropodidae,Ephemeroptera,14,2
Acanthamoebidae,Amoebida,8306,1
Acanthaspidiidae,Isopoda,500,10810
Acanthasteridae,Valvatida,7740,15638
Acanthephyridae,Decapoda,8183,38308
Acanthisittidae,Passeriformes,23470,59765
Acanthizidae,Passeriformes,3944724,291044405
Acanthoaxiidae,Malacalcyonacea,7,
Acanthobdellidae,Acanthobdellida,109,120
