order,class,occurrence_count,individual_count
0-14-0-20-30-16,Iainarchaeia,2,
1-14-0-20-64-10,Koll11,3,
1-14-2-50-48-13,Gracilibacteria,7,
16-39-46,Alphaproteobacteria,83,
2-01-FULL-39-33,ABY1,14,
2-01-FULL-45-10,Koll11,161,
2-01-FULL-59-12,Elusimicrobia,27,
2-01-FULL-66-17,Nitrospiria,1,
2-02-FULL-35-15,Vampirovibrionia,1,
2-02-FULL-39-32,Elusimicrobia,5,
2-02-FULL-40-12,Paceibacteria,76,
2-02-FULL-51-18,Koll11,78,
2-12-FULL-49-11,Chlamydiia,23,
2-12-FULL-50-11,UBA1384,9,
2-12-FULL-54-10,Acidobacteriae,8,
20CM-2-55-15,Acidobacteriae,73,
4484-171,Koll11,5,
4572-78,Anaerolineae,13,
54-19,Chloroflexia,2,
AKS1,Gammaproteobacteria,2844,
AKYH767,Bacteroidia,1535,10990
AKYH767-A,Bacteroidia,116,
ATCC43930,Alphaproteobacteria,5916,7539
Abditibacteriales,Abditibacteria,42,458
Abrothallales,Dothideomycetes,5002,333
Absconditabacterales,JAEDAM01,133,
Acanthobdellida,Clitellata,140,120
Acanthopleuribacterales,Holophagae,24394,
Acanthopodida,Variosea,911,
Acarosporales,Lecanoromycetes,99651,21616
Acavomonida,Acavomonea,116,
Accipitriformes,Aves,98350485,631107005
Acetivibrionales,Clostridia,13159,1492
Acetobacterales,Alphaproteobacteria,111451,192157
Achnanthales,Bacillariophyceae,205360,3756962
Acholeplasmatales,Bacilli,26638,705073
Acidaminococcales,Negativicutes,11776,54
Acidiferrobacterales,Gammaproteobacteria,35727,2667
Acidimicrobiales,Acidimicrobiia,125526,135134
Acidithiobacillales,Gammaproteobacteria,21673,100
Acidobacteriales,Acidobacteriae,132388,390226
Acidoferrales,Acidobacteriae,30,
Acidothermales,Actinomycetia,61980,244957
Aciduliprofundales,Thermoplasmata,135,
Aconchulinida,Filosia,27837,19493
Acorales,Liliopsida,63760,64874
Acrochaetiales,Florideophyceae,22826,4573
Acrosiphoniales,Chlorophyceae,72,
Acrospermales,Dothideomycetes,3551,2066
Acrosymphytales,Florideophyceae,2964,155
Actiniaria,Anthozoa,403953,5424043
Actiniscales,Dinophyceae,630,3350970
Actinodontida,Bivalvia,811,220
Actinomarinales,Acidimicrobiia,1166,6
Actinomycetales,Actinomycetia,483325,379317
Actinophryida,Raphidophyceae,104,21
Actinulida,Hydrozoa,125,13
Acytosteliales,Dictyosteliomycetes,660,
Adapedonta,Bivalvia,153321,35651898
Adiutricales,Desulfarculia,1,
Aenigmatarchaeales,Aenigmatarchaeia,2,
Aerophobales,Aerophobia,1,
Afghanodesmatida,Bivalvia,243,285
Afrosoricida,Mammalia,12493,2923
Agamococcidiorida,Conoidasida,1728,6
Agaricales,Agaricomycetes,8998849,441854136
Agaricostilbales,Agaricostilbomycetes,14117,30
Agelasida,Demospongiae,18892,5329
Aggregatilineales,Anaerolineae,557,16831
Agnostida,Trilobita,22692,11461
Agoniatitida,Cephalopoda,2869,1723
Ahnfeltiales,Florideophyceae,12703,1131
Akentrogonida,Maxillopoda,360,368
Albuginales,Peronosporea,22591,2812
Algavirales,Megaviricetes,1534,
Alicyclobacillales,Bacilli,10405,2380
Alismatales,Liliopsida,5674074,1178273962
Alluroidida,Clitellata,161,78
Amarillovirales,Flasuviricetes,36548,
Amblypygi,Arachnida,8323,4209
Amborellales,Magnoliopsida,752,119
Aminicenantales,Aminicenantia,561,
Ammonifexales,Desulfotomaculia,46,
Amoebida,Lobosa,52135,1395
Amphidiscosida,Hexactinellida,12667,28625
Amphilepidida,Ophiuroidea,253300,2542438
Amphilinidea,Cestoda,102,54
Amphilothales,Dinophyceae,438,68
Amphinomida,Polychaeta,74889,1035812
Amphionidacea,Malacostraca,3,1
Amphipoda,Malacostraca,1550796,21053917
Amphisphaeriales,Sordariomycetes,51902,1284
Amplistromatales,Sordariomycetes,346,5
Amylocorticiales,Agaricomycetes,60682,297826
Anaerolineales,Anaerolineae,101010,5390
Anaeromusales,Negativicutes,35,
Anaspidacea,Malacostraca,2135,2565
Anaulales,Bacillariophyceae,2305,126
Andreaeales,Andreaeopsida,64455,4078
