phylum,country,occurrence_count,rank
AABM5-125-24,SE,1,1
Abyssubacteria,US,2,1
Acanthocephala,US,8665,1
Acanthocephala,MX,2247,2
Acanthocephala,SE,1431,3
Acavomonidia,SE,33,1
Acavomonidia,CA,28,2
Acavomonidia,AU,21,3
Acidobacteriota,US,162122,1
Acidobacteriota,ES,73238,2
Acidobacteriota,DE,46212,3
Actinobacteriota,US,525938,1
Actinobacteriota,ES,170502,2
Actinobacteriota,AU,148375,3
Aenigmatarchaeota,BR,15,1
Aenigmatarchaeota,SE,2,2
Aerophobota,SE,1,1
Aerophobota,CN,1,2
Altiarchaeota,SE,1,1
Altiarchaeota,US,1,2
Altiarchaeota,FI,1,3
Amoebozoa,US,34619,1
Amoebozoa,AU,18020,2
Amoebozoa,CA,9408,3
Annelida,NO,1831985,1
Annelida,GB,1016350,2
Annelida,US,523420,3
Anthocerotophyta,US,5548,1
Anthocerotophyta,PT,2791,2
Anthocerotophyta,GB,2458,3
Aquificota,NZ,4172,1
Aquificota,US,787,2
Aquificota,ZZ,218,3
Armatimonadota,US,35503,1
Armatimonadota,NZ,10047,2
Armatimonadota,CN,7981,3
Arthropoda,GB,76525510,1
Arthropoda,US,31269098,2
Arthropoda,NL,24780031,3
Artverviricota,US,16859,1
Artverviricota,CN,3127,2
Artverviricota,KE,1812,3
Ascomycota,GB,3229320,1
Ascomycota,US,2315738,2
Ascomycota,SE,2234725,3
Asgardarchaeota,CO,7,1
Atribacterota,US,602,1
Atribacterota,JP,79,2
Atribacterota,AU,69,3
BMS3Abin14,SE,2,1
Bacteroidota,US,688037,1
Bacteroidota,AU,496936,2
Bacteroidota,CN,137465,3
Basidiomycota,SE,3271368,1
Basidiomycota,US,2545348,2
Basidiomycota,GB,1723696,3
Bdellovibrionota,US,125015,1
Bdellovibrionota,AU,57700,2
Bdellovibrionota,SJ,25468,3
Bdellovibrionota_C,SE,124,1
Bdellovibrionota_C,DK,3,2
Bdellovibrionota_C,DE,1,3
Bigyra,US,23127,1
Bigyra,AU,13830,2
Bigyra,CA,6734,3
Bipolaricaulota,US,13,1
Bipolaricaulota,CN,7,2
Bipolaricaulota,SE,6,3
Blastocladiomycota,US,3182,1
Blastocladiomycota,CA,1949,2
Blastocladiomycota,AU,1202,3
