phylum,kingdom,occurrence_count,individual_count
Acanthocephala,Animalia,24172,162860
Annelida,Animalia,6247893,51147341
Arthropoda,Animalia,296749877,7345823534
Brachiopoda,Animalia,973737,1564844
Bryozoa,Animalia,805250,5259075445
Chaetognatha,Animalia,241649,10923979
Chordata,Animalia,2135562175,35426045940
Cnidaria,Animalia,3957582,160557400
Ctenophora,Animalia,42285,1562762
Cycliophora,Animalia,1071,1071
Dicyemida,Animalia,1085,1100
Echinodermata,Animalia,2665670,311239148
Entoprocta,Animalia,3441,5359
Gastrotricha,Animalia,8777,18627
Gnathostomulida,Animalia,439,458
Hemichordata,Animalia,55808,92087
Kinorhyncha,Animalia,13131,19155
Loricifera,Animalia,1321,1557
Micrognathozoa,Animalia,75,79
Mollusca,Animalia,21459228,1370394448
Nematoda,Animalia,710066,5872072
Nematomorpha,Animalia,9289,11194
Nemertea,Animalia,173360,483088
Onychophora,Animalia,7778,9849
Orthonectida,Animalia,260,261
Phoronida,Animalia,49726,581614
Placozoa,Animalia,146,146
Platyhelminthes,Animalia,564992,2315290
Porifera,Animalia,1558241,19771640
Priapulida,Animalia,23345,32027
Rotifera,Animalia,200446,44114611
Sipuncula,Animalia,130661,567545
Tardigrada,Animalia,59989,101449
Xenacoelomorpha,Animalia,9878,11675
Aenigmatarchaeota,Archaea,17,17
Altiarchaeota,Archaea,3,3
Asgardarchaeota,Archaea,7,7
Hadarchaeota,Archaea,853,853
Halobacteriota,Archaea,89097,89181
Huberarchaeota,Archaea,8,8
Hydrothermarchaeota,Archaea,154,154
Iainarchaeota,Archaea,8,8
Methanobacteriota,Archaea,12487,13047
Methanobacteriota_A,Archaea,1707,1707
Methanobacteriota_B,Archaea,10408,10408
Micrarchaeota,Archaea,584,584
Nanoarchaeota,Archaea,11522,11602
Nanohaloarchaeota,Archaea,260,260
Sp,Archaea,6,7
Thermoplasmatota,Archaea,56372,56790
Thermoproteota,Archaea,196707,257469
AABM5-125-24,Bacteria,1,1
Abyssubacteria,Bacteria,2,2
Acidobacteriota,Bacteria,648744,2289131
Actinobacteriota,Bacteria,2054606,6712590
Aerophobota,Bacteria,2,2
Aquificota,Bacteria,7581,7581
Armatimonadota,Bacteria,100848,141285
Atribacterota,Bacteria,1496,1496
BMS3Abin14,Bacteria,2,2
Bacteroidota,Bacteria,2616651,2932723
Bdellovibrionota,Bacteria,400477,450453
Bdellovibrionota_C,Bacteria,129,129
Bipolaricaulota,Bacteria,40,40
CG03,Bacteria,2,2
CLD3,Bacteria,12,12
Caldisericota,Bacteria,6060,6060
Calditrichota,Bacteria,38989,38989
Campylobacterota,Bacteria,230217,230347
Chlamydiota,Bacteria,187268,190037
Chloroflexota,Bacteria,631162,1818495
Chrysiogenota,Bacteria,720,720
Cloacimonadota,Bacteria,191,191
Coprothermobacterota,Bacteria,117,117
Cyanobacteria,Bacteria,901218,1400859927
Deferribacterota,Bacteria,18945,18863
Deinococcota,Bacteria,53449,53641
Delongbacteria,Bacteria,15,15
Dependentiae,Bacteria,3391,14460
Desantisbacteria,Bacteria,14,14
Desulfobacterota,Bacteria,537547,560093
Desulfobacterota_B,Bacteria,213,213
Desulfobacterota_C,Bacteria,8916,8916
Desulfobacterota_D,Bacteria,112,112
Desulfobacterota_E,Bacteria,142,657
Desulfobacterota_G,Bacteria,9983,9983
Desulfobacterota_I,Bacteria,64723,64980
Dictyoglomota,Bacteria,1050,1050
Dormibacterota,Bacteria,14,14
Edwardsbacteria,Bacteria,6,6
Eisenbacteria,Bacteria,141,141
Elusimicrobiota,Bacteria,58653,61063
Eremiobacterota,Bacteria,41,41
FCPU426,Bacteria,196,2614
Fermentibacterota,Bacteria,18,18
Fibrobacterota,Bacteria,66133,72011
Firestonebacteria,Bacteria,8,8
Firmicutes,Bacteria,824698,3540508
Firmicutes_A,Bacteria,511997,654389
Firmicutes_B,Bacteria,68065,79459
Firmicutes_C,Bacteria,80444,94225
Firmicutes_D,Bacteria,5271,5271
Firmicutes_E,Bacteria,3862,4540
Firmicutes_F,Bacteria,12158,12184
Firmicutes_G,Bacteria,16082,16648
Fusobacteriota,Bacteria,68795,68805
Gemmatimonadota,Bacteria,200610,527815
Goldbacteria,Bacteria,4,4
Hydrogenedentota,Bacteria,1999,2030
JAAXHH01,Bacteria,18,18
JABDJQ01,Bacteria,3,3
KSB1,Bacteria,3,3
Krumholzibacteriota,Bacteria,59,59
Latescibacterota,Bacteria,2641,7455
Lindowbacteria,Bacteria,4,4
Margulisbacteria,Bacteria,7876,7883
Marinisomatota,Bacteria,1007,1007
Mcinerneyibacteriota,Bacteria,1,1
Methylomirabilota,Bacteria,1407,10168
Moduliflexota,Bacteria,10,10
Muirbacteria,Bacteria,1,1
Myxococcota,Bacteria,494077,774702
Myxococcota_A,Bacteria,2256,2256
Nitrospinota,Bacteria,87861,87861
Nitrospinota_B,Bacteria,1,1
Nitrospirota,Bacteria,98678,119955
Nitrospirota_A,Bacteria,47,47
OLB16,Bacteria,5,5
Omnitrophota,Bacteria,1621,1932
Patescibacteria,Bacteria,14811,35711
Planctomycetota,Bacteria,813496,1055930
Poribacteria,Bacteria,350,350
Proteobacteria,Bacteria,8566292,11431673
QNDG01,Bacteria,1,1
Ratteibacteria,Bacteria,3,3
Riflebacteria,Bacteria,26,26
SAR324,Bacteria,379,379
SM23-31,Bacteria,1,1
Schekmanbacteria,Bacteria,304,304
Spirochaetota,Bacteria,164589,164725
Sumerlaeota,Bacteria,393,2102
Synergistota,Bacteria,29974,29980
Tectomicrobia,Bacteria,777,5328
Thermodesulfobiota,Bacteria,1019,1019
Thermosulfidibacterota,Bacteria,166,166
Thermotogota,Bacteria,9389,9389
UBA10199,Bacteria,15,15
UBA1439,Bacteria,5,5
UBA8248,Bacteria,9,9
UBP15,Bacteria,1,1
UBP17,Bacteria,1,1
UBP6,Bacteria,1,1
Verrucomicrobiota,Bacteria,999491,1841014
Wallbacteria,Bacteria,4,4
Zixibacteria,Bacteria,52,52
Acavomonidia,Chromista,145,145
Bigyra,Chromista,86605,93376
Cercozoa,Chromista,166816,638668
Ciliophora,Chromista,1219975,45582102
Cryptophyta,Chromista,328050,13387540
Foraminifera,Chromista,2543317,13658096
Haptophyta,Chromista,518515,904957904
Heliozoa,Chromista,11101,11107
Myzozoa,Chromista,2496280,8406522583
Ochrophyta,Chromista,7271375,25128264862
Oomycota,Chromista,233366,13023166
Picozoa,Chromista,38837,38837
Ascomycota,Fungi,20391935,57691296
Basidiomycota,Fungi,21632966,471530971
Blastocladiomycota,Fungi,14757,14758
Chytridiomycota,Fungi,270226,286302
Entomophthoromycota,Fungi,13059,14217
Glomeromycota,Fungi,157004,335268
Mucoromycota,Fungi,723658,875367
Neocallimastigomycota,Fungi,5881,5881
Sanchytriomycota,Fungi,263,263
Zoopagomycota,Fungi,55283,55289
Zygomycota,Fungi,4555,4555
Anthocerotophyta,Plantae,30601,253532
Bryophyta,Plantae,16365329,5214565141
Charophyta,Plantae,522596,11767856
Chlorophyta,Plantae,1879438,295642442
Glaucophyta,Plantae,2927,2927
Langiophytophyta,Plantae,398,398
Marchantiophyta,Plantae,3710685,47187627
Rhodophyta,Plantae,2725830,3653298
Tracheophyta,Plantae,485794198,11923867178
Amoebozoa,Protozoa,137599,197993
Calcitarcha,Protozoa,165,171
Choanozoa,Protozoa,136365,643998
Euglenozoa,Protozoa,226247,1333802
Loukozoa,Protozoa,3599,3599
Metamonada,Protozoa,9588,9805
Microsporidia,Protozoa,5038,5123
Mycetozoa,Protozoa,839913,1490669
Sarcomastigophora,Protozoa,27374,1498991
Sulcozoa,Protozoa,33436,33436
Artverviricota,Viruses,43455,45781
Cossaviricota,Viruses,19162,19162
Cressdnaviricota,Viruses,35710,35710
Dividoviricota,Viruses,2,2
Duplornaviricota,Viruses,42298,42298
Hofneiviricota,Viruses,649,649
Kitrinoviricota,Viruses,84445,84457
Lenarviricota,Viruses,2394,2394
Negarnaviricota,Viruses,411093,411202
Nucleocytoviricota,Viruses,18349,18351
Peploviricota,Viruses,13228,13228
Phixviricota,Viruses,2440,2440
Pisuviricota,Viruses,143568,144568
Preplasmiviricota,Viruses,6555,6555
Saleviricota,Viruses,18,18
Taleaviricota,Viruses,23,23
Uroviricota,Viruses,19751,19751
