phylum,species,occurrence_count,individual_count
AABM5-125-24,JABWCQ01 sp016721565,1,1
Acanthocephala,Neoechinorhynchus golvani,838,3710
Acanthocephala,Aspersentis megarhynchus,804,7608
Acanthocephala,Echinorhynchus gadi,661,1410
Acanthocephala,Corynosoma bullosum,532,8343
Acanthocephala,Corynosoma hamanni,526,15101
Acavomonidia,Acavomonas peruviana,58,58
Acidobacteriota,Luteitalea pratensis,733,734
Acidobacteriota,Aridibacter famidurans,559,559
Acidobacteriota,Holophaga foetida,532,532
Acidobacteriota,Acidicapsa acidisoli,518,518
Acidobacteriota,Stenotrophobacter roseus,469,469
Actinobacteriota,Mycobacterium tuberculosis,6949,7186
Actinobacteriota,Aquihabitans daechungensis,3580,3580
Actinobacteriota,Ilumatobacter nonamiensis,2126,2126
Actinobacteriota,Clavibacter michiganensis,1593,1815
Actinobacteriota,Mycobacterium ulcerans,1452,1452
Aenigmatarchaeota,JAFCDY01 sp017609445,2,2
Altiarchaeota,WJMO01 sp014727915,1,1
Amoebozoa,Entamoeba histolytica,6063,6063
Amoebozoa,Parvamoeba rugata,1620,1620
Amoebozoa,Neoparamoeba pemaquidensis,1281,1281
Amoebozoa,Vermamoeba vermiformis,1064,1064
Amoebozoa,Centropyxis aculeata,936,3476
Annelida,Spiophanes kroyeri,55754,270459
Annelida,Paramphinome jeffreysii,53519,975821
Annelida,Galathowenia oculata,52727,2201588
Annelida,Scoloplos armiger,49762,651485
Annelida,Goniada maculata,43255,102611
Anthocerotophyta,Anthoceros punctatus,6497,6514
Anthocerotophyta,Phaeoceros laevis,4255,4291
Anthocerotophyta,Phaeoceros carolinianus,3254,3521
Anthocerotophyta,Anthoceros agrestis,2451,3058
Anthocerotophyta,Notothylas orbicularis,808,808
Aquificota,Aquifex aeolicus,73,73
Aquificota,Phorcysia thermohydrogeniphila,19,19
Aquificota,Thermovibrio ruber,19,19
Aquificota,Desulfurobacterium thermolithotrophum,16,16
Aquificota,Hydrogenobacter thermophilus,15,15
Armatimonadota,Fimbriimonas ginsengisoli,555,555
Armatimonadota,Armatimonas rosea,199,199
